Fecha,Ubicacion,Local,Resultado,Visitante,year
12 de mayo,Caracas,Deportivo La Guaira,0:1,Cerro Porteño,2021
13 de mayo,Barranquilla,América de Cali,1:3,Atlético Mineiro,2021
19 de mayo,Asunción,Cerro Porteño,0:1,Atlético Mineiro,2021
19 de mayo,Santa Cruz[n. 8]​,América de Cali,3:1,Deportivo La Guaira,2021
25 de mayo,Asunción,Cerro Porteño,1:0,América de Cali,2021
25 de mayo,Belo Horizonte,Atlético Mineiro,4:0,Deportivo La Guaira,2021
"13 de julio, 19:15 (UTC-3)",Buenos Aires,Boca Juniors,0:0,Atlético Mineiro,2021
"20 de julio, 19:15 (UTC-3)",Belo Horizonte,Atlético Mineiro,0:0,Boca Juniors,2021
"13 de julio, 21:30 (UTC-3)",São Paulo,São Paulo,1:1,Racing Club,2021
"20 de julio, 21:30 (UTC-3)",Avellaneda,Racing Club,1:3,São Paulo,2021
"14 de julio, 19:15 (UTC-3)",Buenos Aires,Vélez Sarsfield,1:0,Barcelona,2021
"21 de julio, 17:15 (UTC-5)",Guayaquil,Barcelona,3:1,Vélez Sarsfield,2021
"14 de julio, 18:15 (UTC-4)",Santiago,Universidad Católica,0:1,Palmeiras,2021
"21 de julio, 19:15 (UTC-3)",São Paulo,Palmeiras,1:0,Universidad Católica,2021
"14 de julio, 21:30 (UTC-3)",Gobernador Costa,Defensa y Justicia,0:1,Flamengo,2021
"21 de julio, 21:30 (UTC-3)",Brasilia,Flamengo,4:1,Defensa y Justicia,2021
"14 de julio, 21:30 (UTC-3)",Buenos Aires,River Plate,1:1,Argentinos Juniors,2021
"21 de julio, 21:30 (UTC-3)",Buenos Aires,Argentinos Juniors,0:2,River Plate,2021
"15 de julio, 20:30 (UTC-4)",Asunción,Olimpia,0:0,Internacional,2021
"22 de julio, 21:30 (UTC-3)",Porto Alegre,Internacional,0:0,Olimpia,2021
"13 de julio, 18:15 (UTC-4)",Asunción,Cerro Porteño,0:2,Fluminense,2021
"3 de agosto, 19:15 (UTC-3)",Río de Janeiro,Fluminense,1:0,Cerro Porteño,2021
"10 de agosto, 21:30 (UTC-3)",São Paulo,São Paulo,1:1,Palmeiras,2021
